Title,Author
The Sun Also Rises,Ernest Hemingway
Cold Mountain,Charles Frazier
Thirteen Moons,Charles Frazier
The Catcher in the Rye,J. D. Salinger
Traffic,Tom Vanderbilt
The Cat in the Hat,Dr. Seuss
The Cat in the Hat Comes Back,Dr. Seuss
Black Hawk Down,Mark Bowden
User Friendly,Illiad
Evil Geniuses in a Nutshell,Illiad
The Root of All Evil,Illiad
The Giver,Lois Lowry
To Kill a Mockingbird,Harper Lee
How to Win Friends and Influence People,Dale Carnegie
The Hitchhikers Guide to the Galaxy,Douglas Adams
The Princess Bride,William Goldman
Calculus,James Stewart
Chemistry,"Steven S. Zumdahl, Susan A. Zumdahl"
Physics: Principles with Applications,Douglas C. Giancoli
Maus,Art Spiegelman
Feminism is for Everybody,bell hooks
The Great Gatsby,F. Scott Fitzgerald
The Chronicles of Narnia,C. S. Lewis
Where the Sidewalk Ends,Shel Silverstein
